,intent,systemName
344,A13.01600.Templates_and_my_operations,Templates_and_my_operations
345,A19.01578.Okko_subscription,Okko_subscription
346,A25.01640.How_to_become_selfemployed,become_selfemployed
352,holidays,
353,A0509.How_to_change_your_phone_number,canvas_address
354,A09.01565.SMS_bank_enabled_card_list,SMS_bank_enabled_card_list
358,A22.01622.Gosuslugi_account_confirmation,Gosuslugi_account_confirmation
361,currency_converter,currency_converter
365,pfm_disable_paid_services,fin_advisor
366,A02.01571.Credit_application_status,Credit_application_status
367,A0520.What_to_do_with_fraud,What_to_do_with_fraud
368,popcorn_order_search,statusapp
369,A16.0506.How_to_change_DL,How_to_change_DL
370,W0071.Sports_protection_info,SmartApp_UB
371,W0094.Get_copy_of_policy,SmartApp_UB
372,W0101.Which_insurance_suitable_for_me,SmartApp_UB
374,covid_vaccination,gosuslugi
377,whats_new,whats_new
